"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"NAPRO","Naproxeno/Paracetamol","","Excento de ","$53.11 ","$98.00 ","$98.00 "
"FLAXEN","Naproxeno/Paracetamol ","","Excento de ","$21.63 ","$45.00 ","$45.00 "
"NAPRO","Naproxeno/Paracetamol ","","Excento de ","$35.80 ","$77.00 ","$77.00 "
"DUET ","Naproxeno/Paracetamol ","","Excento de ","$28.19 ","$56.00 ","$56.00 "
"NEO-M","Neo-Melubrina INFANTIL ","","Excento de ","$143.78 ","$180.00 ","$180.00 "
"FLAM-T","Nimesulida 100mg c/10 tab ","","Excento de ","$6.19 ","$30.00 ","$30.00 "
"FLAMOZ ","Nimesulida Susp. 1gr/100ml ","","Excento de ","$15.67 ","$50.00 ","$50.00 "
"FLAM S","Nimesulida Susp. 1gr/100ml ","","Excento de ","$11.64 ","$32.00 ","$32.00 "
"REDAFL","NIMESULIDA TABLETAS ","","Excento de ","$8.30 ","$25.00 ","$25.00 "
"PARACE","Paracetamo TABLETAS ","","Excento de ","$4.33 ","$15.00 ","$15.00 "
"PIREM","Paracetamol 300mg ","","Excento de ","$17.25 ","$38.00 ","$38.00 "
"PARACE","Paracetamol 500mg 10 tbs","","Excento de ","$8.00 ","$16.00 ","$16.00 "
"PARACE","PARACETAMOL 500MG ","","Excento de ","$7.15 ","$15.00 ","$15.00 "
"QUIT","Paracetamol 500mg c/10tab ","","Excento de ","$6.63 ","$15.00 ","$15.00 "
"ANTID","Paracetamol 500mg c/20tab","","Excento de ","$16.47 ","$30.00 ","$30.00 "
"PARACE","PARACETAMOL 500MG ","","Excento de ","$6.30 ","$12.00 ","$12.00 "
"CORIVE","PARACETAMOL 750MG ","","Excento de ","$11.34 ","$25.00 ","$25.00 "
"PORTE","Paracetamol 750mg c/10 tab","","Excento de ","$10.56 ","$20.00 ","$20.00 "
"MEJO ","Paracetamol 80mg tab mast ","","Excento de ","$55.36 ","$70.00 ","$70.00 "
"TEM","Paracetamol Gotas  ","","Excento de ","$7.88 ","$17.00 ","$17.00 "
"WAMI","Paracetamol Gts. Pediatricas ","","Excento de ","$8.81 ","$14.00 ","$14.00 "
"TEMPIR","Paracetamol sol 100mg/ml ","","Excento de ","$27.59 ","$60.00 ","$60.00 "
"SON´SPI","Paracetamol SOLUCIÓN ","","Excento de ","$16.10 ","$42.00 ","$42.00 "
